ICD-10 DiagnosisCode,ICD-10 Diagnosis Description
F40.241,Acrophobia
F41.0,Panic Disorder (episodic paroxysmal anxiety)
F43.0,Acute stress reaction
F43.22,Adjustment disorder with anxiety
F43.21,Adjustment disorder with depressed mood
F43.24,Adjustment disorder with disturbance of conduct
F43.23,Adjustment disorder with mixed anxiety and depressed mood
F43.25,Adjustment disorder with mixed disturbance of emotions and conduct
F43.29,Adjustment disorder with other symptoms
F43.20,"Adjustment disorder, unspecified"
F50.82,Avoidant/restrictive food intake disorder
F51.02,Adjustment insomnia
F98.5,Adult onset fluency disorder
F40.01,Agoraphobia with panic disorder
F40.02,Agoraphobia without panic disorder
F40.00,"Agoraphobia, unspecified"
F10.180,Alcohol abuse with alcohol-induced anxiety disorder
F10.14,Alcohol abuse with alcohol-induced mood disorder
F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions
F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
F10.181,Alcohol abuse with alcohol-induced sexual dysfunction
F10.182,Alcohol abuse with alcohol-induced sleep disorder
F10.121,Alcohol abuse with intoxication delirium
F10.188,Alcohol abuse with other alcohol-induced disorder
F10.19,Alcohol abuse with unspecified alcohol-induced disorder
F10.280,Alcohol dependence with alcohol-induced anxiety disorder
F10.24,Alcohol dependence with alcohol-induced mood disorder
F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder
F10.27,Alcohol dependence with alcohol-induced persisting dementia
F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
F10.281,Alcohol dependence with alcohol-induced sexual dysfunction
F10.282,Alcohol dependence with alcohol-induced sleep disorder
F10.221,Alcohol dependence with intoxication delirium
F10.288,Alcohol dependence with other alcohol-induced disorder
F10.29,Alcohol dependence with unspecified alcohol-induced disorder
F10.231,Alcohol dependence with withdrawal delirium
F10.232,Alcohol dependence with withdrawal with perceptual disturbance
F10.239,"Alcohol dependence with withdrawal, unspecified"
F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder"
F10.96,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
F10.97,"Alcohol use, unspecified with alcohol-induced persisting dementia"
F10.950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with
hallucinations"
F10.959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
F10.981,"Alcohol use, unspecified with alcohol-induced sexual dysfunction"
F10.982,"Alcohol use, unspecified with alcohol-induced sleep disorder"
F10.921,"Alcohol use, unspecified with intoxication delirium"
F10.988,"Alcohol use, unspecified with other alcohol-induced disorder"
F04,Amnestic disorder due to known physiological condition
F40.290,Androphobia
F50.02,"Anorexia nervosa, binge eating/purging type"
F50.01,"Anorexia nervosa, restricting type"
F50.00,"Anorexia nervosa, unspecified"
F60.2,Antisocial personality disorder
F06.4,Anxiety disorder due to known physiological condition
F41.9,"Anxiety disorder, unspecified"
F40.210,Arachnophobia
F84.5,Asperger's syndrome
F90.2,"Attention-deficit hyperactivity disorder, combined type"
F90.8,"Attention-deficit hyperactivity disorder, other type"
F90.1,"Attention-deficit hyperactivity disorder, predominantly hyperactive type"
F90.0,"Attention-deficit hyperactivity disorder, predominantly inattentive type"
F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
F84.0,Autistic disorder
F60.6,Avoidant personality disorder
F50.81,Binge eating disorder
F31.81,Bipolar II disorder
F31.31,"Bipolar disorder, current episode depressed, mild"
